,MAE,RMSE,MedAE,MAPE_pct,stock,week,model
1,0.00037724876108552203,0.0005154334453292102,0.0002910135708900207,32.010823297018845,8382,2,Naive
3,0.0002736482181922246,0.0003572268781075724,0.00022924977721239533,35.599348229917545,8382,6,Naive
5,0.0004017788891563707,0.0006036581244884682,0.0003336305452115637,27.23867879913568,8382,11,Naive
7,0.0001940083374793395,0.0002552986869077432,0.0001466798656871101,29.474185585332553,8382,14,Naive
9,0.0003025265421825283,0.0003993969303445208,0.0002344837090081881,37.68849182999168,8382,15,Naive
11,0.0002257639719624543,0.00029635445244833154,0.0001752220082776049,30.594322365720565,8382,16,Naive
13,0.00039559485221620725,0.0005244189899715011,0.00029602983691541046,41.637034497393124,8382,17,Naive
15,0.00021414381670105195,0.00030608337517628665,0.00015787855725266482,29.986235231150935,8382,20,Naive
17,0.0002745714599541185,0.0004093364158920261,0.00018493949012182159,41.232159720865646,8382,21,Naive
19,0.00025746830729834845,0.0003437145751886486,0.0002073857453185469,40.37134452404476,8382,26,Naive
21,0.0002237876732860219,0.0002989420589143101,0.0001704528821679118,35.156112226655196,8382,28,Naive
23,0.00014668464924194355,0.00020227063324189878,0.00010826872293347358,30.305075274978087,8382,38,Naive
25,0.00022148502014925363,0.000372157035029067,0.00012669743593511886,29.305179284027854,9323,2,Naive
27,0.0003807863903093508,0.00051674294165608,0.0002781723573927928,26.743545179876598,9323,4,Naive
29,0.0002871043417630653,0.0004267507450419656,0.00021092352767585455,23.45115071044948,9323,8,Naive
31,0.0002037311609223028,0.00029225163377383776,0.00014753198202329833,34.27079709931642,9323,11,Naive
33,0.00014596843195392942,0.0001969187146102168,0.00012052834700988018,27.94826479903478,9323,17,Naive
35,0.0001307794775228414,0.0002191784037445034,7.114752642094892e-05,2406779323881112.0,9323,23,Naive
37,0.00012800021650111052,0.00016666728437129193,0.00010499750598463216,3581961076712773.5,9323,26,Naive
39,0.00015169810434462552,0.0001915256769203787,0.0001276158584847754,37.47360572453321,22675,2,Naive
41,0.0002758363662769925,0.0003331285106287281,0.0002456972189578826,46.840890824154854,22675,4,Naive
43,0.00017593057235823953,0.00022457765302651164,0.00015266970035508867,49.1321730275798,22675,5,Naive
45,0.0002992079153314927,0.00038808925171144844,0.0002208265934688928,36.539535623064864,22675,8,Naive
47,0.00015519713780944567,0.00020698051688453702,0.00012288926938679173,29.727248094935653,22675,12,Naive
49,0.00014787224840061354,0.00018681489146302302,0.00011972722186631503,49.85470832633169,22675,19,Naive
51,0.00014486112875507174,0.0001971554970527563,0.0001160939330905901,53.98223738594054,22675,25,Naive
53,8.301376429843411e-05,0.00010888301875588559,6.138376437948639e-05,33.69679224894425,22675,26,Naive
55,0.000147750883456904,0.0001880782811068992,0.00012144471974381854,42.783515928345636,22675,28,Naive
57,0.00011718401971342564,0.00015646680799941823,9.470394938152707e-05,40.24908964453147,22675,29,Naive
59,0.00011451388263738537,0.00014674695982523197,9.978327512608845e-05,43.52291158562359,22675,35,Naive
61,0.00032699781222151096,0.000451736408501733,0.00022743888766711738,47.88985025972071,22729,4,Naive
63,0.00019920238919668773,0.000255557546579438,0.00015914130335857032,38.960413537481955,22729,12,Naive
65,0.00016550728611700228,0.0002332958079004493,0.00011663326267079346,56.37720407418975,22729,14,Naive
67,0.00018637351323332017,0.0002490925257024792,0.00015891008822917137,63.25701303699718,22729,17,Naive
69,0.00019751880718839698,0.0003653007336518555,9.452510752804575e-05,111.70212961482757,22729,21,Naive
71,0.0001624280529125489,0.00023550191937963963,0.0001263536276799938,64.50299816969101,22729,24,Naive
73,0.00015365557203871015,0.00019465550158115322,0.00012872288209205026,114.15828840590945,22729,28,Naive
75,0.00014166434831510574,0.00017941619828285563,0.00011590400848216658,60.518009127368344,22729,29,Naive
77,0.0001360011318357145,0.00017575640590699468,0.00011612258013195626,84.24514371584394,22729,30,Naive
79,0.00019987230532857926,0.00027724110533388393,0.00014230804935648993,77.90366028509416,22729,33,Naive
81,0.00010603545326674821,0.0001364701235304254,8.325279016406188e-05,1536335875867205.2,22729,35,Naive
83,0.000153370219536877,0.00027995072875742425,7.886505052117905e-05,35.804770915543116,22753,6,Naive
85,0.00020478348247983229,0.0002835665952312875,0.00014757776427198888,24.96151096994591,22753,8,Naive
87,9.656746960898356e-05,0.00012673245362448282,7.61025672150902e-05,27.39215551230111,22753,16,Naive
89,0.00011285419351176967,0.00015313697031789418,9.195094228325807e-05,29.45588978649637,22753,17,Naive
91,0.00012990466181481578,0.00018083094967738612,0.00010154019707332557,31.55089537455694,22753,19,Naive
93,0.00011121234915483278,0.00015000565017514157,8.533246176221972e-05,23.196965263140314,22753,28,Naive
95,0.00010090788310895193,0.00012983652037482714,7.892399471796779e-05,28.127706089470877,22753,33,Naive
97,0.00013091634721950073,0.0001901213200527487,0.00010933526836940378,30.304460815346218,22753,37,Naive
99,0.0003454760687065393,0.0004473134815684637,0.00027995359345246625,47.261433589095454,22771,4,Naive
101,0.0002602194613192093,0.0003706874045428564,0.0001862058346106366,50.59987783050695,22771,11,Naive
103,0.00021940757212928803,0.00027589116935269545,0.0001834547721135739,36.05293899228518,22771,12,Naive
105,0.00017023846955787413,0.00022360154865800635,0.00014140554657473764,43.03956604598717,22771,14,Naive
107,0.00015476648598966358,0.00020075880610497267,0.0001201247037424316,51.73622367082452,22771,15,Naive
109,0.0002590078301078944,0.0003820877894105695,0.00016941240472468071,55.76510807474763,22771,17,Naive
111,0.00015358349066469873,0.00020361903935681944,0.0001182699106489852,47.18086714966344,22771,19,Naive
113,0.00017286867312293826,0.00022334186506689323,0.00014372287028580275,68.29985253047232,22771,23,Naive
115,0.00019988054426883252,0.0002593364416264832,0.00016446312201622875,59.97689039682682,22771,28,Naive
117,0.00018107590994773294,0.00027324955419876363,0.00010982082381790272,56.082243702420996,22771,29,Naive
119,0.00017132728747676918,0.0002459050143480795,0.00011824720434645139,51.82355758758106,22771,33,Naive
121,0.00021711115098367828,0.0003088817022172718,0.00016083484671566527,63.14865103064719,22771,34,Naive
123,0.0001813029555955667,0.0002749844783323491,0.00010607787373357316,51.061454979006335,22771,35,Naive
125,0.00019547994941709394,0.00028787149085764786,0.00014492526286664158,47.202302956366,22771,37,Naive
127,0.00034874111450716657,0.0004418348002676801,0.0003028215849508184,34.601206482728685,22951,4,Naive
129,0.00030551053194641047,0.00048512571839383936,0.00022917663450172746,28.865383439182274,22951,8,Naive
131,0.00017340167188189734,0.0002201085684912079,0.00014326564070888087,28.592646749895117,22951,10,Naive
133,0.00022597394534879496,0.0003001685697057203,0.0001929138786592711,28.129002927141382,22951,11,Naive
135,0.00012584089178423145,0.00017119139483038432,9.756886700562262e-05,31.433571934833036,22951,15,Naive
137,0.00022585698985183385,0.00047491040585104206,8.31045492272896e-05,50.26906057219583,22951,21,Naive
139,0.00010987416100323026,0.00016472787196268439,7.296996971108744e-05,27.916515027250995,22951,23,Naive
141,0.0002003980682973487,0.0002781682417953417,0.00013463519643198437,32.167485477344,22951,29,Naive
143,0.0001485286909188213,0.00018716664955014005,0.0001238570213797712,36.83224408185516,22951,30,Naive
145,0.00034395070952498335,0.00045463037793106446,0.00026653018932217026,34.071077981528234,48219,4,Naive
147,0.0002094195901166997,0.0002669750415859996,0.00016776564520042735,48.66320144405151,48219,6,Naive
149,0.00022050137854231336,0.0002786754386918774,0.00018088101662843531,35.567900945551855,48219,12,Naive
151,0.00022423906213300566,0.0002920177553429121,0.00018115460699369898,56.36428620851821,48219,14,Naive
153,0.0001915890479669464,0.0002630604873311867,0.00014210244020223427,41.38569823329455,48219,16,Naive
155,0.00019238688198657133,0.00025697262916408363,0.00014235331366449345,44.543149041874166,48219,20,Naive
157,0.0002337564984749633,0.0003369703226877239,0.00016274238647447136,50.258883860188206,48219,21,Naive
159,0.00023415917524671656,0.00032728247145488243,0.0001672940979772908,58.65072469452788,48219,25,Naive
161,0.00019978195659160704,0.0002580215594028932,0.00016354380050762263,44.86131825742099,48219,29,Naive
163,0.00015504974026557335,0.00021457713521028015,0.00011040283895309713,40.04533660709529,48219,38,Naive
165,6.146293799560088e-05,8.958221956078108e-05,4.044030495680657e-05,32.60438775770323,50200,5,Naive
167,4.758677562732148e-05,7.712686105410691e-05,2.9107328648676366e-05,32.16765477623331,50200,14,Naive
169,8.093564111486359e-05,0.0001673072889938648,2.9559773277154822e-05,47.351398769911825,50200,21,Naive
171,4.715543049913137e-05,8.515877219477797e-05,2.4287899288158277e-05,38.92810942528154,50200,26,Naive
173,0.00019859571143070493,0.0002623511310121775,0.00014923007983966565,26.262091384212,104919,4,Naive
175,5.785943578249928e-05,7.476669136454154e-05,4.60432775879069e-05,23.219173317851975,104919,5,Naive
177,0.00021700431382654334,0.000278379182962477,0.00017891185756145926,20.83136394240072,104919,9,Naive
179,4.6051338183345636e-05,6.778216055316754e-05,3.225623545352274e-05,17.764409250428002,104919,14,Naive
181,9.774771771938245e-05,0.00012772552725607737,7.913745622863011e-05,25.565501753101987,104919,18,Naive
183,8.784038860846449e-05,0.00013441348144557178,5.5147283563314254e-05,25.342417485854046,104919,19,Naive
185,9.466146479421101e-05,0.00013061937647538456,7.22965313388557e-05,25.22941798967412,104919,24,Naive
187,4.2649800611337715e-05,6.82897616747148e-05,2.406200892467517e-05,22.130744104302185,104919,26,Naive
189,8.705535119549448e-05,0.00011611658366480702,6.646817638705278e-05,25.412386652799096,104919,28,Naive
191,4.353119993395729e-05,6.609348670518865e-05,2.667866422494075e-05,20.765862671156757,104919,29,Naive
193,4.1260466988854915e-05,5.709929013624786e-05,2.7462947841220996e-05,25.71678486578861,104919,32,Naive
195,3.882362315765798e-05,5.749165967541684e-05,2.7829890307469672e-05,21.121868046815024,104919,35,Naive
197,6.055477109409626e-05,8.619107789435977e-05,4.540303474265333e-05,24.522165581241097,104919,38,Naive
0,0.00043924139839542233,0.000593034907170495,0.0003176033640532031,39.91285903642748,8382,2,XGB
2,0.000233400579735083,0.00030622298113611916,0.00017590064708748442,32.405798415896236,8382,6,XGB
4,0.0004713432132186559,0.0006924208436333944,0.00035486249916417533,33.27255598510711,8382,11,XGB
6,0.0001834827867555944,0.00022976473657012334,0.0001520324360820723,29.569463986793217,8382,14,XGB
8,0.0002292949850724232,0.0003097970789839614,0.00017020467048785238,29.953805804024054,8382,15,XGB
10,0.00021816495242356454,0.0002714404585211859,0.00019019661582568857,31.964888587522367,8382,16,XGB
12,0.0003578573615086946,0.00045177247269898724,0.0002977193249323755,37.66674312443702,8382,17,XGB
14,0.00036050414919647043,0.0004642447103188141,0.0003015575370941043,52.2904087031585,8382,20,XGB
16,0.00017753535835429292,0.0002320993672863054,0.00015504264201247428,29.379248692038416,8382,21,XGB
18,0.00020357366020491724,0.00027155847040673226,0.00016024330884125679,31.924152096160224,8382,26,XGB
20,0.00019007836177110758,0.00024982594373502325,0.0001520386801263498,33.05381268440232,8382,28,XGB
22,0.00015223142609935544,0.00021723250996042793,0.00011330723984577005,33.544865737938785,8382,38,XGB
24,0.00021228530535976026,0.00027502375128350687,0.0001739277697266449,33.859039509708786,9323,2,XGB
26,0.0004663028428299422,0.000626091235604944,0.0003573823890682866,35.94549974695897,9323,4,XGB
28,0.00032328965351982245,0.000442585769524149,0.0002811953546340765,28.32273090541913,9323,8,XGB
30,0.00015867491356368039,0.0002300490177010138,0.0001173278158898146,28.894768716907425,9323,11,XGB
32,0.0001365780576353609,0.00017852295186354764,0.00011117388256278318,27.872109624002228,9323,17,XGB
34,0.00011768466034349117,0.00016763202630877755,8.749695214063324e-05,2964203295065934.0,9323,23,XGB
36,0.00012082008704322849,0.0001583297802387991,9.36743245701234e-05,4171710085930147.0,9323,26,XGB
38,0.00014450738883649774,0.00018964120257544022,0.00011103474623606537,36.86203595835762,22675,2,XGB
40,0.00018747540465848455,0.00024261091224490303,0.0001472710853630061,30.95080569434938,22675,4,XGB
42,0.00017445307307495603,0.00022227650842329458,0.00014614817941649362,47.17056912283859,22675,5,XGB
44,0.00021696394003963037,0.0002879987289023155,0.00017253721129716903,28.683892299413067,22675,8,XGB
46,0.00013517197977404356,0.00018306453603799094,9.792879599321859e-05,27.371292899021242,22675,12,XGB
48,0.00010936312869908815,0.0001355811513979115,9.430277921292131e-05,44.76657590121616,22675,19,XGB
50,0.00013921405902014893,0.00019178573210359683,0.00010872006180894762,50.308960685599445,22675,25,XGB
52,8.474424886880996e-05,0.00010506375182092363,7.28980486165044e-05,37.85284799018184,22675,26,XGB
54,0.00014016700584467572,0.00017667729945873147,0.0001137839336470632,42.07866959888157,22675,28,XGB
56,0.00010101932012799157,0.0001282284733545168,8.34518379199937e-05,41.00262747508105,22675,29,XGB
58,8.249458050647258e-05,0.00010779057776558465,6.080525460943029e-05,35.18661054240685,22675,35,XGB
60,0.0002650352388908583,0.0003379762700486784,0.00022063173469389578,39.970137304958186,22729,4,XGB
62,0.00017795531578361238,0.00022479680097902652,0.00014947377228919493,38.6334903950479,22729,12,XGB
64,0.0001212763017272263,0.00015987564343110684,0.00010104604288042101,51.5653110808571,22729,14,XGB
66,0.0001613761650063181,0.00022229491028175494,0.00011981510214748381,48.80277828593932,22729,17,XGB
68,0.0001678451246682142,0.0002347532066828086,0.00013102265611749216,111.44121222306549,22729,21,XGB
70,0.00015300082240020022,0.0002134534108130452,0.00011448806914737005,73.42710536881654,22729,24,XGB
72,0.00014232973278675395,0.00018708234618388642,0.00011835548071550028,106.9547034447738,22729,28,XGB
74,0.0001316629612480148,0.00016598123298750006,0.00011223559681216291,72.64703151795989,22729,29,XGB
76,0.00011823192080627804,0.00014976486317545539,9.911976043499932e-05,76.33251293021276,22729,30,XGB
78,0.00013844796106499526,0.00017506934597006025,0.0001191205667064445,68.60096773248475,22729,33,XGB
80,0.00013403709789477957,0.00017069129719771454,0.00011116021568079095,3104665428295761.0,22729,35,XGB
82,0.00011588635797333361,0.00015426698111316813,9.353077966389927e-05,34.41302978734417,22753,6,XGB
84,0.00018498206965950582,0.00024140639882749512,0.00014950590876572622,22.932098205354333,22753,8,XGB
86,0.0001141730022759238,0.00014770800299256234,8.957582101277904e-05,35.34580520731047,22753,16,XGB
88,9.495328249265864e-05,0.00012646832784315504,8.057884384029335e-05,24.633261759338687,22753,17,XGB
90,0.00010108732190393488,0.00013215738205101148,8.224081285151183e-05,27.528834052279212,22753,19,XGB
92,9.735712852870084e-05,0.000125034786527543,7.917889530979792e-05,22.222076282527343,22753,28,XGB
94,9.628701158872113e-05,0.00012722663026891757,7.798834480145299e-05,25.76469740410008,22753,33,XGB
96,0.00011491504928875154,0.0001810636789048029,7.781991039212798e-05,25.1551237392095,22753,37,XGB
98,0.00027472114912462537,0.0003556167160498303,0.0002152542206108122,41.199001263885656,22771,4,XGB
100,0.00027503725004048685,0.0003708829983874419,0.00022322852006746689,61.55303997763817,22771,11,XGB
102,0.00019910703734682853,0.0002545643689610166,0.00017090798659631884,33.156630753237806,22771,12,XGB
104,0.00015534933551987566,0.0001991296801504342,0.0001224648731826133,43.42161353508044,22771,14,XGB
106,0.00016413390805901563,0.00020564956949859053,0.00014983426493204012,59.51878518510212,22771,15,XGB
108,0.00018019426423001396,0.0002507646913465238,0.0001516026599867948,42.10647572349778,22771,17,XGB
110,0.00013999236802719338,0.00018639775515310748,0.0001062986829936064,45.578545283792884,22771,19,XGB
112,0.00012471447132055095,0.00016465629189737135,0.00010498657975487714,53.51856789715879,22771,23,XGB
114,0.00015343066385789303,0.00021080363403239573,0.00011765847634521371,48.36924034770083,22771,28,XGB
116,0.00016916681219622951,0.0002221247745790437,0.00014190042570985374,59.06534687457936,22771,29,XGB
118,0.00017205679226538616,0.00022200771925940502,0.00013643327484647892,51.33055617993547,22771,33,XGB
120,0.00024979253470190676,0.00037317539521408206,0.000150695535090927,71.22533737844485,22771,34,XGB
122,0.0001471832137720724,0.00019811845239771345,0.0001161502611464704,46.58592182578325,22771,35,XGB
124,0.00024639036032841335,0.00032819923119638034,0.00018729399815246118,73.64327489023201,22771,37,XGB
126,0.0002768653956292419,0.00035861447803336224,0.00023068140720997833,28.338382128663774,22951,4,XGB
128,0.0003621796827439803,0.0005103191806480563,0.0002874989877418824,35.5104209523804,22951,8,XGB
130,0.00015416996993787614,0.00019627075046192182,0.00013579579419076184,25.69514603772803,22951,10,XGB
132,0.00026888195455312687,0.0003586395234803969,0.00022421010058618665,34.62966770239782,22951,11,XGB
134,0.00011507586395658355,0.0001564264391108264,8.764273404979752e-05,31.28927575401631,22951,15,XGB
136,0.00011593811229335826,0.000152965767791629,9.769137420734058e-05,34.56972329215839,22951,21,XGB
138,0.00011754101244676502,0.00015618323938612955,9.464374238443144e-05,35.00249416215895,22951,23,XGB
140,0.000255690046744107,0.00032988661504080463,0.0002044153807158228,48.195688489586885,22951,29,XGB
142,0.00016030150240577473,0.00020693664179466582,0.0001335342388451559,40.13673415646634,22951,30,XGB
144,0.00035157713570146634,0.0004560957721981966,0.000291587171556134,36.97836178394056,48219,4,XGB
146,0.000154328345720193,0.00021052621973190742,0.00011650515551034451,36.4788112086005,48219,6,XGB
148,0.00018209751136876945,0.00022368756049042577,0.00015008179599915983,32.51573088326115,48219,12,XGB
150,0.00016214089323408928,0.00021380253040116965,0.000133704194061306,46.042367233462656,48219,14,XGB
152,0.00024341461725752475,0.00030897049184099414,0.000197943851768542,60.36420750786132,48219,16,XGB
154,0.00017151879807261077,0.00022829287912674482,0.0001355781565600353,42.06714284692372,48219,20,XGB
156,0.00015081611999095135,0.00020756074331452506,0.00011904421837072263,32.94234283323382,48219,21,XGB
158,0.00017782785256589698,0.00024772138307552736,0.00013333716918025753,48.61690518952983,48219,25,XGB
160,0.00024696605936037425,0.00031306990395367425,0.00019182340644696835,61.61434389993008,48219,29,XGB
162,0.00013921589310832364,0.00017908313362818617,0.0001185535914947567,40.96650075855757,48219,38,XGB
164,6.487816602110371e-05,8.346004992051616e-05,5.443573268472613e-05,37.38050244402967,50200,5,XGB
166,3.878497842809717e-05,5.88237881530148e-05,2.9161556719894977e-05,26.65850040940823,50200,14,XGB
168,5.1637389602042373e-05,7.335369821457771e-05,3.670109860068445e-05,37.3490317925633,50200,21,XGB
170,3.56312626709397e-05,4.843220607521777e-05,2.742410166496846e-05,33.87989993043566,50200,26,XGB
172,0.00019885144785498535,0.00026032689468903,0.00015372351457985519,27.257569064468512,104919,4,XGB
174,7.348046639605498e-05,9.596517833649326e-05,5.53175437651829e-05,31.200404747899608,104919,5,XGB
176,0.00025174505853014877,0.0003325939070821276,0.0001964006086963601,24.442106880828405,104919,9,XGB
178,6.533418825007157e-05,8.674578836853817e-05,5.3046415821812685e-05,26.43398870733541,104919,14,XGB
180,7.265021084031866e-05,9.942749413020044e-05,5.563715757390073e-05,20.48137847152625,104919,18,XGB
182,6.79319194358078e-05,9.110775697626556e-05,5.113645734991934e-05,23.93105595883099,104919,19,XGB
184,0.00014440824061833578,0.00018841196428161903,0.00011556637916531927,42.60398878248524,104919,24,XGB
186,3.432253443635427e-05,5.034260078259351e-05,2.5810557260467482e-05,20.108828725566646,104919,26,XGB
188,7.523421149992119e-05,0.00010160061765932598,6.253655884053788e-05,22.706624554019264,104919,28,XGB
190,6.107030872242566e-05,8.932181933498006e-05,4.3581088647708865e-05,30.94899783397721,104919,29,XGB
192,4.7098783794574866e-05,6.273303591387532e-05,3.799305082993049e-05,31.011271807501394,104919,32,XGB
194,4.809314304962261e-05,6.865670313580209e-05,3.4220773509396774e-05,26.865910377606838,104919,35,XGB
196,9.055518184331898e-05,0.00011891290933205311,7.275888971230197e-05,41.01567541024424,104919,38,XGB
